BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,11, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,6, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,5, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,54, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,42, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,63, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,61, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,71, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,75, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,123, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,91, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,86, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,130, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,107, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,114, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,111, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,88, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,83, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,56, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,46, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,21, 
4421,Horn,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,9, 
